,nikkei,aord,nyse,dax,ftse,hangseng,sp500,djia
2014-06-24,15376.24,5415.1,11014.09,9920.92,6787.07,22880.64,1962.61,16937.26
2014-06-25,15266.61,5386.8,10921.99,9938.08,6733.62,22866.7,1949.98,16818.13
2014-06-26,15308.49,5446.8,10962.8653,9867.75,6735.12,23197.83,1959.53,16867.51
2014-06-27,15095.0,5429.1,10949.45,9804.9,6757.77,23221.52,1957.22,16846.13
2014-06-30,15162.1,5382.0,10949.45,9804.9,6743.94,23190.72,1957.22,16846.13
2014-07-01,15326.2,5366.5,10979.425,9833.07,6802.92,23190.72,1960.23,16826.6
2014-07-02,15369.97,5441.7,11046.61,9902.41,6816.37,23549.62,1973.32,16956.07
2014-07-03,15348.29,5479.5,11050.34,9911.27,6865.21,23531.44,1974.62,16976.24
2014-07-04,15437.13,5511.8,11104.72,10029.43,6866.05,23546.36,1985.44,17068.26
2014-07-07,15379.44,5506.3,11104.72,10029.43,6823.51,23540.92,1985.44,17068.26
2014-07-08,15314.41,5498.5,11035.81,9906.07,6738.45,23541.38,1977.65,17024.21
2014-07-09,15302.65,5442.2,10963.16,9772.67,6718.04,23176.07,1963.71,16906.62
2014-07-10,15216.47,5454.3,11005.4956,9808.2,6672.37,23238.99,1972.83,16985.61
2014-07-11,15164.04,5474.6,10941.34,9659.13,6690.17,23233.45,1964.68,16915.07
2014-07-14,15296.82,5495.8,10941.34,9659.13,6746.14,23346.67,1964.68,16915.07
2014-07-15,15395.16,5495.7,10991.47,9783.01,6710.45,23459.96,1977.1,17055.42
2014-07-16,15379.3,5504.5,10965.64,9719.41,6784.67,23523.28,1973.28,17060.68
2014-07-17,15370.26,5509.9,11017.88,9859.27,6738.32,23520.87,1981.57,17138.2
2014-07-18,15215.71,5519.2,10890.44,9753.88,6749.45,23454.79,1958.12,16976.81
2014-07-22,15343.28,5534.0,10957.6682,9612.05,6795.34,23782.11,1973.63,17051.73
2014-07-23,15328.56,5567.0,11016.2423,9734.33,6798.15,23971.87,1983.53,17113.54
2014-07-24,15284.42,5576.8,11023.8987,9753.56,6821.46,24141.5,1987.01,17086.63
2014-07-25,15457.87,5574.2,11038.5601,9794.06,6791.55,24216.01,1987.98,17083.8
2014-07-28,15529.4,5569.9,11038.5601,9794.06,6788.07,24428.63,1987.98,17083.8
2014-07-29,15618.07,5580.6,10987.2363,9598.17,6807.75,24640.53,1978.91,16982.59
2014-07-30,15646.23,5615.1,10936.7,9653.63,6773.44,24732.21,1969.95,16912.11
2014-07-31,15620.77,5623.1,10929.79,9593.68,6730.11,24756.85,1970.07,16880.36
2014-08-01,15523.11,5547.6,10726.4266,9407.48,6679.18,24532.43,1930.67,16563.3
2014-08-04,15474.5,5533.3,10726.4266,9407.48,6677.52,24600.08,1930.67,16563.3
2014-08-05,15320.31,5511.5,10766.6801,9154.14,6682.48,24648.26,1938.99,16569.28
2014-08-06,15159.79,5504.0,10657.3225,9189.74,6636.16,24584.13,1920.21,16429.47
2014-08-07,15232.37,5500.7,10653.4225,9130.04,6597.37,24387.56,1920.24,16443.34
2014-08-08,14778.37,5429.6,10583.7885,9038.97,6567.36,24331.41,1909.57,16368.27
2014-08-11,15130.52,5449.4,10583.7885,9038.97,6632.82,24646.02,1909.57,16368.27
2014-08-12,15161.31,5523.1,10722.79,9180.74,6632.42,24689.41,1936.92,16569.98
2014-08-13,15213.63,5507.9,10705.78,9069.47,6656.68,24890.34,1933.75,16560.54
2014-08-14,15314.57,5542.9,10756.1794,9198.88,6685.26,24801.36,1946.72,16651.8
2014-08-15,15318.34,5559.6,10802.63,9225.1,6689.08,24954.94,1955.18,16713.58
2014-08-18,15322.6,5580.6,10802.63,9225.1,6741.25,24955.46,1955.18,16713.58
2014-08-19,15449.79,5618.4,10886.5086,9245.33,6779.31,25122.95,1971.74,16838.74
2014-08-20,15454.45,5629.2,10929.6595,9334.28,6755.48,25159.76,1981.6,16919.59
2014-08-21,15586.2,5634.0,10949.48,9314.57,6777.66,24994.1,1986.51,16979.13
2014-08-22,15539.19,5640.5,10982.8289,9401.53,6775.25,25112.23,1992.37,17039.49
2014-08-25,15613.25,5632.8,10982.8289,9401.53,6775.25,25166.91,1992.37,17039.49
2014-08-26,15521.22,5634.5,11005.36,9510.14,6822.76,25074.5,1997.92,17076.87
2014-08-27,15534.82,5648.9,11025.3679,9588.15,6830.66,24918.75,2000.02,17106.7
2014-08-28,15459.86,5621.3,11037.8902,9569.71,6805.8,24741.0,2000.12,17122.01
2014-08-29,15424.59,5624.6,11009.7016,9462.56,6819.75,24742.06,1996.74,17079.57
2014-09-01,15476.6,5629.3,11009.7016,9462.56,6825.31,24752.09,1996.74,17079.57
2014-09-02,15668.6,5629.3,11009.7016,9479.03,6829.17,24749.02,1996.74,17079.57
2014-09-03,15728.35,5654.6,11038.1216,9507.02,6873.58,25317.95,2002.28,17067.56
2014-09-04,15676.18,5654.6,11063.55,9626.49,6877.97,25297.92,2000.72,17078.28
2014-09-05,15668.68,5598.9,11030.4,9724.26,6855.1,25240.15,1997.65,17069.58
2014-09-08,15705.11,5578.9,11030.4,9724.26,6834.77,25190.45,1997.65,17069.58
